,bmi_z,alcohol_days_clean_log_z,mental_unhealthy_days_log_z,physical_unhealthy_days_log_z
bmi_z,1.0,-0.1224765220738901,0.06077555659682378,0.10051575574753716
alcohol_days_clean_log_z,-0.1224765220738901,1.0,-0.036302359399802864,-0.04014538201483988
mental_unhealthy_days_log_z,0.06077555659682378,-0.036302359399802864,1.0,0.30145746103791066
physical_unhealthy_days_log_z,0.10051575574753716,-0.04014538201483988,0.30145746103791066,1.0
